Tweet,Sentiment
I love the new iPhone design! #AppleEvent,Positive
The recent update is terrible and full of bugs.,Negative
Can't wait for the new features!,Positive
I'm neutral about the new product launch.,Neutral
Worst experience with the app. Crashes every time!,Negative
Amazing service and fast delivery. Well done!,Positive
"Not bad, but could be better.",Neutral
This is the best phone I've used in years!,Positive
Disappointed by the battery life.,Negative
Just okay. Nothing special.,Neutral
